Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.55000000E-001  0.99983304E+000 -0.90667154E+000  0.41538355E+000  0.99729473E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99674627E+000  0.30867685E-002  0.99983304E+000  0.99365951E+000
  0.57500000E-001  0.99983304E+000 -0.82742481E+000  0.55631903E+000  0.99705701E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99646492E+000  0.33681200E-002  0.99983304E+000  0.99309680E+000
  0.60000000E-001  0.99983304E+000 -0.72645954E+000  0.68255680E+000  0.99680853E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99617114E+000  0.36619006E-002  0.99983304E+000  0.99250924E+000
  0.62500000E-001  0.99983304E+000 -0.60644380E+000  0.79078215E+000  0.99654929E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99586494E+000  0.39681000E-002  0.99983304E+000  0.99189684E+000
  0.65000000E-001  0.99983304E+000 -0.47054605E+000  0.87815650E+000  0.99627929E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99554634E+000  0.42867076E-002  0.99983304E+000  0.99125963E+000
  0.67500000E-001  0.99983304E+000 -0.32235130E+000  0.94239202E+000  0.99599853E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99521533E+000  0.46177124E-002  0.99983304E+000  0.99059762E+000
  0.70000000E-001  0.99983304E+000 -0.16576641E+000  0.98181157E+000  0.99570701E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99487194E+000  0.49611028E-002  0.99983304E+000  0.98991084E+000
  0.72500000E-001  0.99983304E+000 -0.49169023E-002  0.99539259E+000  0.99540473E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99451618E+000  0.53168672E-002  0.99983304E+000  0.98919931E+000
  0.75000000E-001  0.99983304E+000  0.15596190E+000  0.98279366E+000  0.99509170E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99414805E+000  0.56849934E-002  0.99983304E+000  0.98846306E+000
  0.77500000E-001  0.99983304E+000  0.31263660E+000  0.94436306E+000  0.99476793E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99376757E+000  0.60654688E-002  0.99983304E+000  0.98770210E+000
  0.80000000E-001  0.99983304E+000  0.46098730E+000  0.88112912E+000  0.99443341E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99337476E+000  0.64582809E-002  0.99983304E+000  0.98691648E+000
  0.82500000E-001  0.99983304E+000  0.59711612E+000  0.79477269E+000  0.99408817E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99296963E+000  0.68634163E-002  0.99983304E+000  0.98610621E+000
  0.85000000E-001  0.99983304E+000  0.71744977E+000  0.68758236E+000  0.99373220E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99255218E+000  0.72808617E-002  0.99983304E+000  0.98527132E+000
  0.87500000E-001  0.99983304E+000  0.81883353E+000  0.56239373E+000  0.99336552E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99212244E+000  0.77106033E-002  0.99983304E+000  0.98441184E+000
  0.90000000E-001  0.99983304E+000  0.89861405E+000  0.42251421E+000  0.99298815E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99168042E+000  0.81526270E-002  0.99983304E+000  0.98352779E+000
  0.92500000E-001  0.99983304E+000  0.95470890E+000  0.27163554E+000  0.99260009E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99122612E+000  0.86069185E-002  0.99983304E+000  0.98261921E+000
  0.95000000E-001  0.99983304E+000  0.98566101E+000  0.11373618E+000  0.99220137E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99075958E+000  0.90734629E-002  0.99983304E+000  0.98168612E+000
  0.97500000E-001  0.99983304E+000  0.99067659E+000 -0.47023797E-001  0.99179199E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.99028080E+000  0.95522452E-002  0.99983304E+000  0.98072855E+000
  0.10000000E+000  0.99983304E+000  0.96964544E+000 -0.20641247E+000  0.99137197E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98978979E+000  0.10043250E-001  0.99983304E+000  0.97974654E+000
  0.10250000E+000  0.99983304E+000  0.92314329E+000 -0.36023766E+000  0.99094133E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98928658E+000  0.10546462E-001  0.99983304E+000  0.97874012E+000
  0.10500000E+000  0.99983304E+000  0.85241607E+000 -0.50445739E+000  0.99050008E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98877118E+000  0.11061864E-001  0.99983304E+000  0.97770931E+000
  0.10750000E+000  0.99983304E+000  0.75934639E+000 -0.63528624E+000  0.99004825E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.98824360E+000  0.11589441E-001  0.99983304E+000  0.97665416E+000
